Date,BAJAJ,HERO
6/16/2016,2303.512695,2593.289307
6/17/2016,2316.344482,2601.573975
6/20/2016,2349.09668,2614.665771
6/21/2016,2365.5625,2621.018799
6/22/2016,2361.883789,2639.519531
6/23/2016,2379.695313,2629.903809
6/24/2016,2403.743652,2625.912354
6/27/2016,2376.51001,2620.117432
6/28/2016,2354.929199,2592.98877
6/29/2016,2374.177002,2709.873047
6/30/2016,2413.748535,2728.502197
7/1/2016,2396.96875,2735.198242
7/4/2016,2380.413574,2712.662842
7/5/2016,2343.937012,2670.854492
7/7/2016,2342.501465,2663.643311
7/8/2016,2337.162354,2719.530762
7/11/2016,2377.04834,2785.419922
7/12/2016,2379.516113,2788.596436
7/13/2016,2384.271729,2786.579102
7/14/2016,2395.958984,2799.542236
7/15/2016,2423.378662,2785.033936
7/18/2016,2477.094971,2789.841797
7/19/2016,2480.241455,2773.959473
7/20/2016,2498.671387,2811.775635
7/21/2016,2490.804932,2804.092773
7/22/2016,2445.854004,2799.41333
7/25/2016,2428.098877,2815.897217
7/26/2016,2403.915283,2755.845215
7/27/2016,2400.499023,2751.166016
7/28/2016,2391.823486,2744.856445
7/29/2016,2428.053955,2749.878174
8/1/2016,2459.83374,2760.094971
8/2/2016,2470.172363,2800.143311
8/3/2016,2440.684814,2773.787354
8/4/2016,2466.891113,2812.67749
8/5/2016,2573.064941,2956.60376
8/8/2016,2581.470215,2968.107178
8/9/2016,2577.289795,2929.00293
8/10/2016,2567.580811,2847.875244
8/11/2016,2558.905029,2837.187012
8/12/2016,2578.998047,2842.423828
8/16/2016,2591.898926,2825.554688
8/17/2016,2642.782715,2883.459961
8/18/2016,2648.581787,2891.787354
8/19/2016,2636.983887,2882.601563
8/22/2016,2629.522461,2864.358154
8/23/2016,2588.078125,2839.805664
8/24/2016,2579.896729,2842.209229
8/25/2016,2573.333984,2836.972656
8/26/2016,2569.603271,2837.187012
8/29/2016,2596.214111,2929.174316
8/30/2016,2678.069092,2985.405762
8/31/2016,2677.709717,3040.220215
9/1/2016,2696.13916,3045.585693
9/2/2016,2695.2854,3071.426758
9/6/2016,2701.35376,3103.105225
9/7/2016,2684.272217,3096.45166
9/8/2016,2776.780762,3179.639893
9/9/2016,2729.807373,3108.770996
9/12/2016,2656.492676,3032.880127
9/14/2016,2671.461426,3082.157715
9/15/2016,2635.680664,3052.057129
9/16/2016,2680.496826,3108.577637
9/19/2016,2648.356934,3087.225342
9/20/2016,2595.404785,3002.639404
9/21/2016,2609.519287,2996.575928
9/22/2016,2631.185547,3065.136963
9/23/2016,2633.792725,3059.593018
9/26/2016,2599.585449,3002.293457
9/27/2016,2585.380859,2989.516602
9/28/2016,2619.633057,2989.733154
9/29/2016,2558.949707,2969.593506
9/30/2016,2542.048584,2956.989746
10/3/2016,2589.966064,3050.064697
10/4/2016,2601.922607,3061.498779
10/5/2016,2569.333496,3024.164795
